sample-id	Bucket	SampleNumber	SampleType	FLWC Detail	FLWC Age Months	FLWC Location	Sampler Initials	Bulking Material Detail	Composting Time Point	Date	Season	Crate Location	Temp Top Bucket C	Temp Bottom Bucket C	Average Ambient Temp	Wt Bucket Compost Kg	Wt Bucket Kg	Wt Compost Kg	Observations Outside Bucket	Observations Vent Tube	Visible Contents Access Port	Compost Temp C	Compost Moisture Percent	Sample Weight g	Observed Sample Color	Observed Sample Moisture	Observed Sample Contents	Observed Sample Smell	Observed Sample Organisms YN	Organism Type	Length Observed Organism mm	Compost pH	Notes Comments	sample-uuid	Sequenced 16S	Sequenced 18S	Sequenced ITS	Sequenced Metagenome
#Description	Composting bucket number	Order in which samples were collected, per bucket		Food and landscape waste compost (FLWC) sample detail	Food and landscape waste compost (FLWC) age in months	Food and landscape waste compost (FLWC) Source location	Study author or anonymous study participant who performed sample collection. 	Description of bulking material used in composting toilet	Time point (TP) at which the human excrement sample was collected, analogous to the week of composting.	Date of sample collection	Season of sample collection	Location in storage crate at time of sample collection	Temperature (C) at top of bucket at time of sample collection	Temperature (C) at bottom of bucket at time of sample collection	Mean of Temp Top Bucket and Temp Bottom Bucket	Weight of bucket and compost (kilograms)	Weight of bucket (kilograms)	Weight of compost (kilograms)	Text description of observations related to outside of composting bucket collected during sampling 	Text description of observations when looking at venting tube of composting bucket collected during sampling. When multiple descriptions are presented, the most prominent observations are first.	Text description of observations when looking through access port of composting bucket collected during sampling. When multiple descriptions are presented, the most prominent observations are first.	Temperature (C) of compost at time of sampling.	Moisture content as measured with Vegetronix Soil Moisture probe. This device often malfunctioned resulting in many missing values here. 	Collected sample weight in grams.	Sample color, as determined by manual comparison to color swatches. Y: yellow; LY: light yellow; LB: light brown; MB: medium brown; DB: dark brown; BL: black.	Percieved sample moisture. L: low; M: medium; H: high; SAT: saturated	Text description of observations of collected sample material. When multiple descriptions are presented, the most prominent observations are first.	Percieved odors collected by wafting from the sample. When multiple descriptions are presented, the most prominent observations are first.	Presence (Y) or absence (N) of visible organisms in collected samples.	Identified organisms	Length of organism (mm)	Collected with Hydrion pH paper		UUID for sample, as generated with cual-id. 				
8092ad80	1	1	Bulking Material				JM	Straw		2021-09-02																								42c6e458-142c-4620-86f8-6b818092ad80	Y	Y		Y
4482d2bc	1	2	Bulking Material				JM	Fine Grained Sawdust		2021-09-15																								2981ba75-85da-4c4e-bee1-fba94482d2bc	Y			Y
f2979533	1	3	Bulking Material				JM	Fine Grained Sawdust		2021-09-10																								e7e5ec2e-e682-4b34-a14b-0b99f2979533	Y			Y
355cbba7	1	4	Inside Toilet Pre Use				JM			2021-08-24																							Clean; not used for 5 years previously	a772800f-0960-426f-bbd0-e20a355cbba7	Y			Y
de8f6a92	1	5	Soil Nearby Toilet				JM			2021-08-20																								e82d3153-f5f3-4aa4-bbec-892ade8f6a92	Y			Y
52f2a5eb	1	6	SunMar Microbe Mix				JM			2021-10-04																								8b6498ff-8988-47a9-bb33-3e2c52f2a5eb	Y			
6c055796	1	7	Human Excrement				JM			2021-08-24																								f6fd429f-151c-49f5-ad30-d6fa6c055796	Y	Y		Y
1ce93c87	1	8	Human Excrement				JM			2021-09-03																								00e03626-bc3c-4dd3-b46d-fc6a1ce93c87	Y	Y		Y
f88c3e66	1	9	Human Excrement				JM			2021-09-08																								8bbb7d40-edb4-4ce4-adc4-3108f88c3e66	Y	Y		Y
bcfdfab6	1	10	Human Excrement				JM			2021-09-15																								3409009b-5a77-4a18-9c8f-f881bcfdfab6	Y	Y		Y
1c9d1ab0	1	11	Human Excrement Compost Pre-Roll				JM		1	2021-10-04	Fall	1	15.2	14.8	15	5.35	1.35	4	water droplets on the inside of the lid observable through the top of the lid	small black flies; white larvae	straw; fine grained sawdust	19.9	45.4	3	DB	SAT	straw; fine grained sawdust	earthy	N			9.5		44c19eff-24ed-44b8-b687-14631c9d1ab0	Y			
772b5c41	1	12	Human Excrement Compost				JM		1	2021-10-04	Fall	1	16.9	16.7	16.8	5.35	1.35	4	water droplets on the inside of the lid observable through the top of the lid	small black flies; white larvae	straw; fine grained sawdust	19.5	34.4	3	Y-LB	L	straw; fine grained sawdust	earthy	N			9.5	Mixing appears to be effective	46ac2a89-b154-4891-a948-07ff772b5c41	Y	Y		Y
3ec3c78c	1	13	Human Excrement Compost Pre-Roll				JM		2	2021-10-07	Fall	2	13.4	13.9	13.65	5.15	1.35	3.8	small black flies; white larvae  clustered around location 1 bucket;  white larvae  visible at location 6	large black flies	straw; fine grained sawdust	17	64	4	Y-LB	L	straw; fine grained sawdust	earthy	N			9.5		2158cbe5-1552-4935-b122-4f4c3ec3c78c	Y			
f48dce8e	1	14	Human Excrement Compost				JM		2	2021-10-07	Fall	2	13.9	12.8	13.35	5.15	1.35	3.8	small black flies and white larvae  clustered around location 1 bucket; white larvae  visible at location 7	small black flies	compact fine grained sawdust	17.3	58	2	LB-DB	L	fine grained sawdust; feces	earthy	Y	brown pupa; small black fly	3; 1	9.75	Mixing appears to be effective	930871d8-8284-47ab-b6aa-c000f48dce8e	Y		Y	
7c46c840	1	15	Human Excrement Compost Pre-Roll				JM		3	2021-10-13	Fall	3	18.6	8.6	13.6	5.1	1.35	3.75	small black flies and white larvae  clustered around location 1 bucket; white larvae  visible at location 6	small black flies; large black flies	fine grained sawdust	11.3	92	7	LB-DB	M	straw; feces	earthy	Y	large dead black fly; black beetle	3; 2	9		147fa92a-2e22-45ff-9413-c0f07c46c840	Y			
e706dd01	1	16	Human Excrement Compost				JM		3	2021-10-13	Fall	3	13.7	9.9	11.8	5.1	1.35	3.75	small black flies; white larvae clustered around location 1 bucket; white larvae visible at location 7	small black flies	fine grained sawdust; small air pocket	11.1	53	4	LB	L	straw	earthy	Y	brown pupa; small black fly	3; 1	9	Mixing appears to be effective	c5a1beb5-faae-43a2-97a8-563fe706dd01	Y			Y
b1e34ca3	1	17	Human Excrement Compost Pre-Roll				JM		4	2021-10-21	Fall	4	19.2	15.2	17.2	5.2	1.35	3.85	manYsmall dead black flies on crate floor and on buckets	large dead flies; small black flies	fine grained sawdust; straw	10.6	86	2.2	Y-LB	M	straw	earthy	N			7.5		928f06b9-db2b-4d82-b87d-31b4b1e34ca3	Y			
ccbfb567	1	18	Human Excrement Compost				JM		4	2021-10-21	Fall	4	16.5	17.3	16.9	5.2	1.35	3.85	manYsmall dead black flies on crate floor and on buckets	large dead flies; small black flies	fine grained sawdust; straw	13.5	52	3.3	LB-DB	M	fine grained sawdust	earthy	Y	brown pupa; small black flies	3; 1	8	Mixing appears to be effective	dbcec985-87ed-4d86-9aaf-f44eccbfb567	Y		Y	
10839ec1	1	19	Human Excrement Compost Pre-Roll				JM		5	2021-10-28	Fall	5	19.5	12	15.75	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; large air pocket	13.7	63	1.6	LB	L	wood chips; straw; fine grained sawdust	earthy	N			8	Soil moisture probe broken	91e33043-979d-4950-b16e-4d9d10839ec1	Y			
600569a7	1	20	Human Excrement Compost				JM		5	2021-10-28	Fall	5	17	19	18	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; large air pocket; slight compaction	13.9		1.7	MB	L	fine grained sawdust; straw; rock	earthy	N			7	Soil moisture probe broken	9f11138c-825a-4c78-8d39-284f600569a7	Y			Y
18ee67fd	1	21	Human Excrement Compost Pre-Roll				JM		6	2021-11-04	Fall	6	15.5	11	13.25	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; small air pocket; slight compaction	11.7		1.8	MB	M	straw; fine grained sawdust	earthy	N			7	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep	a12da5aa-35e3-4b7a-aa9d-77d518ee67fd	Y			
b0d60bcd	1	22	Human Excrement Compost				JM		6	2021-11-04	Fall	6	13.5	13	13.25	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	fine grained sawdust; straw	11.6		1.9	MB	M	straw; fine grained sawdust	earthy	N			7	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep	2bc3a255-5822-4f24-8cca-409eb0d60bcd	Y		Y	
1c7376f1	1	23	Human Excrement Compost Pre-Roll				JM		7	2021-11-11	Fall	7	19	12	15.5	5.1	1.35	3.75	living flies on bucket; small dead black flies	large dead flies; living black flies	straw	11.7	12	2	Y	L	straw	earthy	N			7		9bd481b3-0183-429c-a236-2b7d1c7376f1	Y			
b9f1a9d7	1	24	Human Excrement Compost				JM		7	2021-11-11	Fall	7	16	17	16.5	5.1	1.35	3.75	living flies on bucket; small dead black flies	large dead flies; living black flies	large air pocket; straw	12.8	9	2.3	Y	L	straw	earthy	Y	brown pupa	3	7		b1a96aee-83e9-4e94-8cd7-2fa2b9f1a9d7	Y			Y
71e19b3f	1	25	Human Excrement Compost Pre-Roll				JM		8	2021-11-18	Fall	8	13	11	12	5	1.35	3.65		large dead flies	large air pocket; straw	10.3	70	2.4	Y	L	straw	earthy	N			7		57524cfb-2aee-4fcc-9699-990f71e19b3f	Y			
10583739	1	26	Human Excrement Compost				JM		8	2021-11-18	Fall	8	16	11	13.5	5	1.35	3.65			large air pocket; straw	10	57	2	Y	L	straw	earthy	N			7		8b280d65-8b49-44f6-afb3-91ac10583739	Y		Y	
07717ac5	1	27	Human Excrement Compost Pre-Roll				JM		9	2021-11-24		9	11	11	11	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	11.4		2.1	MB	L	straw; fine grained sawdust	earthy	N			6.4	Changed pH paper to Hydrion	5673bf27-8d94-4759-9c39-ae2d07717ac5	Y			
3983043e	1	28	Human Excrement Compost				JM		9	2021-11-24		9	13	11	12	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	11.4		1.8	MB	L	straw; fine grained sawdust	earthy	N			6		405b0aaa-244c-49a5-996d-369c3983043e	Y			Y
7597783b	1	29	Human Excrement Compost Pre-Roll				JM		10	2021-12-02		10	13	11	12	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	9.6	63	2	MB	L	straw; fine grained sawdust	earthy	N			5.2		f177b364-fbc1-499b-b27d-24577597783b	Y			
a6bfb7f3	1	30	Human Excrement Compost				JM		10	2021-12-02		10	12	11	11.5	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	10.1	46	2	MB	L	straw; fine grained sawdust	earthy	Y	white larva	3	5	Decomposition appears to be happening. These samples have smaller and darker pieces of straw. 1 white larva	7d3cade1-5d0b-4651-96b9-e122a6bfb7f3	Y		Y	
160603ff	1	31	Human Excrement Compost Pre-Roll				JM		11	2021-12-09		11	11.5	10	10.75	5	1.35	3.65		fine grained sawdust	small air pocket; straw	11		1.9	DB	M	straw; fine grained sawdust	earthy	N			6		e8243b11-7939-42af-aee1-a556160603ff	Y			
21efab81	1	32	Human Excrement Compost				JM		11	2021-12-09		11	11	10	10.5	5	1.35	3.65		fine grained sawdust	small air pocket; straw	11.1		2.1	MB-DB	M	straw; fine grained sawdust	earthy	N			5.5		8438edad-4819-4c12-89f1-9cd421efab81	Y			Y
9f9d2f0b	1	33	Human Excrement Compost Pre-Roll				JM		12	2021-12-16		12	9	7	8	5	1.35	3.65		large black flies; fine grained sawdust	straw	8.9	50	2.2	MB	M	straw	earthy	N			5.5		09ebd949-b673-49c7-8844-a0a99f9d2f0b	Y			
fbbd6534	1	34	Human Excrement Compost				JM		12	2021-12-16		12	9.5	6	7.75	5	1.35	3.65		large black flies; fine grained sawdust	straw	8.7	40	2.2	MB	L-M	straw; white larvae	damp	Y	brown pupae	3	5.5		f94040f7-fd76-46bd-a95d-5469fbbd6534	Y		Y	
c8a6a2b8	1	35	Human Excrement Compost Pre-Roll				JM		12	2021-12-23		13	11.5	10	10.75	4.9	1.35	3.55		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	11.5	34	2.2	MB	M	straw; fine grained sawdust	earthy	N			5.8		9938c1dd-1230-40f9-960b-cdf4c8a6a2b8	Y			
ad2c769a	1	36	Human Excrement Compost				JM		13	2021-12-23		13	12	11	11.5	4.9	1.35	3.55		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	11.5	44	2.1	MB	M	straw; fine grained sawdust	earthy	N			5.8		22850f55-5fba-4aaa-91af-243dad2c769a	Y			Y
dd8d0a2e	1	37	Human Excrement Compost Pre-Roll				JM		14	2021-12-30		14	8	8	8	5	1.35	3.65		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	8.9	73	1.9	MB	M	straw; fine grained sawdust	earthy	N			6		e4bbb52a-3e44-4d46-9074-f633dd8d0a2e	Y			
be34ec8f	1	38	Human Excrement Compost				JM		14	2021-12-30		14	8	8	8	5	1.35	3.65		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	8.6	54	2.1	MB	M	straw; fine grained sawdust; feces	earthy	Y	unidentified organism	10	6		14b7baf3-9d2b-401c-88d3-b7e3be34ec8f	Y		Y	
