pathway	AM01	AM02	AM03	AM04	AM05	AM06	AM07	AM08	AM09
12DICHLORETHDEG-PWY	1014.6688389607813	642.2250922872714	720.1404150779483	726.8257882870963	640.347856393194	1004.8594271597708	1146.0698095264156	1387.9598857108367	490.2327189487108
14DICHLORBENZDEG-PWY	460.67601163057435	437.4079334374444	688.6303183948497	303.7270910385702	498.7789759308059	931.4276140565858	603.0766429528281	1084.3629945509595	43.30445054685881
1CMET2-PWY	17419.268318325237	11378.118024514557	11905.186543957405	10661.795559956692	16381.39253554353	18408.230599994713	17041.099898469987	22012.523787337617	11665.747070440982
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	745.0774755731776	190.91208502750715	468.4387989831957	308.5296068600947	342.0868505760963	911.335756474519	91.59012114373576	449.65126926228777	673.4461135553755
AEROBACTINSYN-PWY	58.42278204781429	90.12272684907445	169.4187400741133	75.00729013786301	0.0	29.99901284505279	0.0	19.577984966520866	29.35882666483262
ALLANTOINDEG-PWY	1008.2862667685646	360.7388729961234	973.041424003383	1030.093275231921	1645.4394396868156	1703.2210882367642	1549.412379320299	2187.798097255602	911.4139631963604
ANAEROFRUCAT-PWY	13084.601252642955	7018.6865343991085	8633.014087873862	6253.316050935598	11396.969157942798	12989.71041689158	11118.08884999136	16216.39919958429	8006.673407837102
ANAGLYCOLYSIS-PWY	19336.379608106945	11596.983562089683	12587.429425221164	11435.49360091699	16688.68847669428	18956.315921118843	17822.21253937556	24683.27308897263	11925.71765957894
ARG+POLYAMINE-SYN	10504.453701020055	4681.555587576616	6984.174885393679	4590.822564700029	9761.405474928479	10673.858055265348	9833.229203162353	12348.127132866433	7254.800397660981
ARGDEG-IV-PWY	135.69862868883163	0.0	0.0	0.0	71.32059444011553	58.68738461059076	135.06796463438124	121.8021987656425	0.0
ARGDEG-PWY	0.0	26.64120070041962	0.0	0.0	0.0	3.965903053589717	0.0	0.0	0.0
ARGININE-SYN4-PWY	13815.931728281337	8065.643706480027	9232.376807413111	7707.404843985884	12622.21713832957	14294.60912563393	12170.702298648162	16204.826833791756	8599.73310691459
ARGSYN-PWY	19210.908996941864	12653.849584396834	13711.362416569737	10948.37169806838	18681.57877761421	21369.50991218584	18920.309102905227	25281.312811024585	13312.84462162088
ARGSYNBSUB-PWY	19692.824760857693	12390.529773454507	13943.172464995576	10568.543669431052	18949.161531757214	21685.086565107566	18564.93312107657	25827.044687460257	13334.802008273651
ARO-PWY	22236.086782911523	14251.958824284031	15145.854942682738	12809.390161375055	20887.9706450218	23840.749778934744	21001.05084205782	29033.50970829576	14680.197808765257
ASPASN-PWY	2129.977747260776	1325.2922346757969	1434.1044071104022	737.8408304350422	2287.9755180579646	688.5206021616559	1745.4315728004462	1690.8986192151442	933.4697586673348
AST-PWY	924.8123742739061	399.09493133569293	215.53441570780595	160.60620395974672	254.65199195146292	615.154194000287	495.6295358250454	771.8293908969193	82.34511768021501
BRANCHED-CHAIN-AA-SYN-PWY	22691.572037393613	14405.554125380955	16503.456415642373	13487.567854859548	21349.17247857726	26056.558290794943	22147.893786214903	27692.083023127827	15182.482013399978
CALVIN-PWY	22143.099405022993	14008.623118497891	15517.445399225544	12961.88867723193	21079.493234290312	22609.013800305373	21064.952576914075	28499.434007888518	14373.67988938292
CARNMET-PWY	11.964849217541488	1.9983232000054503	0.0	0.0	0.0	0.0	0.0	31.506517476388133	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY	940.2524754605105	932.0299436911863	632.592259634574	685.8824774260399	346.6474380717038	1968.8396511435847	885.8520099384663	617.6995824963946	111.83604965900797
CHLOROPHYLL-SYN	543.7263792366103	787.9987260724723	683.5525557127451	1005.8363359834763	518.9107108117887	1158.2348874004817	628.2594068328763	775.3214031832874	36.16204036441078
CITRULBIO-PWY	10503.056298083306	6967.197792376805	7405.706939189141	6482.952279234878	10282.968671593393	10100.218206687863	9744.44491857274	14264.607228593604	7082.8824123749355
COA-PWY	22793.98022704695	14193.57528369684	15463.021634657222	12643.667075739993	21468.23835253831	23647.338535453484	21562.85019367566	30410.990896107913	15218.870154729126
COA-PWY-1	21010.98514048138	13300.87086565454	14152.635873460627	11756.19796052328	19651.429840592627	21325.76800611067	19554.627945950153	26883.96302482952	13685.79310310962
COBALSYN-PWY	4679.720272892692	2000.246287359315	2574.580849393979	2793.0277698950886	3999.880192234133	4511.231766910075	4211.824015945036	4882.79184495042	2127.2469024628485
CODH-PWY	3180.1969311938856	563.7365960786813	677.8675259524914	623.0908400127071	2280.831370962961	1345.8551627927443	1687.8705382945266	3044.195421629582	1202.8314035904586
COLANSYN-PWY	22932.946043949163	15411.891980310882	15241.863091828507	14370.383360708769	22340.94144885175	24615.560325623166	21065.854326358774	29916.851572806605	15496.967758438934
COMPLETE-ARO-PWY	23769.24652280117	15171.74675119347	16216.566270475501	13604.624355707965	22323.0915435401	25552.837685551684	22523.104094555747	30885.482605302317	15693.42761774354
CRNFORCAT-PWY	998.9608735522697	423.35857382481345	713.4721163669884	77.50827822559077	1398.452470268293	749.8167861281688	1137.409519853071	2545.50732575849	1208.6704236030653
DAPLYSINESYN-PWY	19524.827023624355	12535.7872104951	14248.459409108178	12073.27127145664	18816.08667880793	21531.807556119933	19688.36595736445	25624.555847627886	13720.200908413084
DARABCATK12-PWY	816.1108937752432	508.6838093719949	746.3220018211981	209.42259807270503	951.076719708366	1275.1240350735122	847.180464659744	1562.9855018806975	533.831170340255
DENITRIFICATION-PWY	4207.073790623596	2559.7336021379433	2761.4635916756915	2462.732997391926	3423.5214103566486	5500.852129233394	3974.940518637296	4907.291788599769	2429.7017299949516
DENOVOPURINE2-PWY	8720.38217533158	4906.415652897652	5179.193481716476	5184.6677235529305	8995.445374867886	10710.074451354943	8522.920472045897	11977.828667031892	5463.455209087929
DHGLUCONATE-PYR-CAT-PWY	81.40867331894226	9.98809859417675	47.6737475944177	46.70285552148644	0.0	327.5496256588354	0.0	26.62319228251898	0.0
DTDPRHAMSYN-PWY	27844.968930943614	18158.37380416809	19053.702725304192	16447.471098863418	26479.04548480919	29889.918090473686	25764.735100368067	37087.76585622186	18801.226498001248
ECASYN-PWY	0.0	8.558100742028666	0.0	0.0	0.0	38.76018148766873	0.0	0.0	0.0
FAO-PWY	18539.382069679476	9210.006582365908	12913.752709180993	11106.370720749865	16052.30999500976	19736.774696610628	18279.514778737175	22299.675219178607	12319.326454663678
FERMENTATION-PWY	13874.975232573259	6445.300637415597	7249.699757068369	7109.0062990389315	11116.10396811264	11890.62560115048	10628.620098614698	15321.244416899623	7363.650848861769
FOLSYN-PWY	17511.85707887309	11608.486032039833	12228.912483095877	11057.860503816053	16655.076650276977	18224.983737686023	17232.49167109151	22999.672188583394	11862.717109190893
FUC-RHAMCAT-PWY	941.7108087685151	97.20928466806025	736.2784239311386	394.65414621774414	1103.524970524309	1650.6147732509762	900.0691411090003	2134.8880211186765	837.5594461238164
FUCCAT-PWY	1021.9305561778186	543.0391990083947	920.740696195348	249.45242235743436	1141.4580268218983	1654.2423081881677	1105.6848794992375	2170.9144456171853	667.2293453556803
